gt,pred,rouge1,rouge2,rougeL,bleu,meteor,wer
something was broken in my engine,extraordinary i to said your no,0.0,0.0,0.0,1.1640469867513693e-231,0.0,1.0
and as i had with me neither a mechanic nor any passengers i set myself to attempt the difficult repairs all alone,extraordinary i to said your no goodbye in so i said all i is now which said man thought i place because,0.18181818181818182,0.0,0.13636363636363635,1.0003688322288243e-231,0.1690909090909091,0.9545454545454546
it was a question of life or death for me i had scarcely enough drinking water to last a week,extraordinary i to said your no goodbye in so i said all i is now which said man thought i,0.10000000000000002,0.0,0.10000000000000002,1.0244914152188952e-231,0.05000000000000001,1.0
the first night then i went to sleep on the sand a thousand miles from any human habitation,extraordinary i to said your no goodbye in so i said all i is now which said man,0.1111111111111111,0.0,0.1111111111111111,1.0518351895246305e-231,0.1111111111111111,1.0
i was more isolated than a shipwrecked sailor on a raft in the middle of the ocean,extraordinary i to said your no goodbye in so i said all i is now which said,0.11764705882352941,0.0,0.11764705882352941,8.972141065609098e-232,0.058823529411764705,1.0
thus you can imagine my amazement at sunrise when i was awakened by an odd little voice,extraordinary i to said your no goodbye in so i said all i is now which said,0.058823529411764705,0.0,0.058823529411764705,1.0669733992029681e-231,0.029411764705882353,0.9411764705882353
it said if you please draw me a sheep what draw me a sheep i jumped to my feet completely thunderstruck,extraordinary i to said your no goodbye in so i said all i is now which said man thought i place,0.14285714285714285,0.0,0.09523809523809523,8.510469113101058e-232,0.07142857142857142,1.0
i blinked my eyes hard,extraordinary i to said your,0.20000000000000004,0.0,0.20000000000000004,1.2183324802375697e-231,0.10000000000000002,1.0
i looked carefully all around me,extraordinary i to said your no,0.16666666666666666,0.0,0.16666666666666666,1.1640469867513693e-231,0.08333333333333333,1.0
and i saw a most extraordinary small person who stood there examining me with great seriousness,extraordinary i to said your no goodbye in so i said all i is now which,0.125,0.0,0.0625,1.0832677820940877e-231,0.0625,0.9375
here you may see the best portrait that later i was able to make of him,extraordinary i to said your no goodbye in so i said all i is now which,0.125,0.0,0.125,9.109159947227211e-232,0.0625,0.9375
but my drawing is certainly very much less charming than its model,extraordinary i to said your no goodbye in so i said all,0.0,0.0,0.0,9.788429383461836e-232,0.0,1.0
that however is not my fault,extraordinary i to said your no,0.0,0.0,0.0,1.1640469867513693e-231,0.0,1.0
the grownups discouraged me in my painters career when i was six years old and i never learned to draw anything except boas from the outside and boas from the inside,extraordinary i to said your no goodbye in so i said all i is now which said man thought i place because some it snake then from the thorns on fumble,0.1935483870967742,0.03333333333333333,0.16129032258064516,9.181748633447778e-232,0.13754480286738352,0.967741935483871
now i stared at this sudden apparition with my eyes fairly starting out of my head in astonishment,extraordinary i to said your no goodbye in so i said all i is now which said man,0.16666666666666666,0.0,0.1111111111111111,1.0518351895246305e-231,0.08333333333333333,0.9444444444444444
remember i had crashed in the desert a thousand miles from any inhabited region,extraordinary i to said your no goodbye in so i said all i is,0.14285714285714285,0.0,0.14285714285714285,1.1200407237786664e-231,0.07142857142857142,0.9285714285714286
and yet my little man seemed neither to be straying uncertainly among the sands nor to be fainting from fatigue or hunger or thirst or fear,extraordinary i to said your no goodbye in so i said all i is now which said man thought i place because some it snake then,0.07692307692307693,0.0,0.038461538461538464,9.594503055152632e-232,0.057692307692307696,1.0
nothing about him gave any suggestion of a child lost in the middle of the desert a thousand miles from any human habitation,extraordinary i to said your no goodbye in so i said all i is now which said man thought i place because some,0.043478260869565216,0.0,0.043478260869565216,9.893133360884868e-232,0.06521739130434782,1.0
when at last i was able to speak i said to him but what are you doing here and in answer he repeated very slowly as if he were speaking of a matter of great consequence if you please draw me a sheep when a mystery is too overpowering one dare not disobey,extraordinary i to said your no goodbye in so i said all i is now which said man thought i place because some it snake then from the thorns on fumble funny much shop asked out own you millions stars way was without to in that the to sheep one like is not,0.22641509433962265,0.019230769230769232,0.16981132075471697,6.752107625974243e-232,0.11320754716981132,0.9433962264150944
absurd as it might seem to me a thousand miles from any human habitation and in danger of death i took out of my pocket a sheet of paper and my fountain pen,extraordinary i to said your no goodbye in so i said all i is now which said man thought i place because some it snake then from the thorns on fumble funny much,0.15151515151515152,0.0,0.09090909090909091,9.039352811507815e-232,0.09090909090909091,0.9696969696969697
but then i remembered how my studies had been concentrated on geography history arithmetic and grammar and i told the little chap a little crossly too that i did not know how to draw,extraordinary i to said your no goodbye in so i said all i is now which said man thought i place because some it snake then from the thorns on fumble funny much shop,0.20588235294117646,0.0,0.08823529411764706,8.972141065609098e-232,0.10294117647058823,1.0
he answered me that doesnt matter,extraordinary i to said your no,0.0,0.0,0.0,0.0,0.0,1.0
draw me a sheep but i had never drawn a sheep,extraordinary i to said your no goodbye in so i said,0.09090909090909091,0.0,0.09090909090909091,1.0003688322288243e-231,0.045454545454545456,1.0
so i drew for him one of the two pictures i had drawn so often,extraordinary i to said your no goodbye in so i said all i is now,0.20000000000000004,0.07142857142857142,0.20000000000000004,9.257324954728539e-232,0.13333333333333333,0.9333333333333333
it was that of the boa constrictor from the outside,extraordinary i to said your no goodbye in so i,0.0,0.0,0.0,9.269981669466712e-232,0.0,1.0
and i was astounded to hear the little fellow greet it with no no no,extraordinary i to said your no goodbye in so i said all i is now,0.20000000000000004,0.0,0.20000000000000004,9.257324954728539e-232,0.10000000000000002,0.9333333333333333
i do not want an elephant inside a boa constrictor,extraordinary i to said your no goodbye in so i,0.10000000000000002,0.0,0.10000000000000002,1.1023928157275093e-231,0.05000000000000001,1.0
a boa constrictor is a very dangerous creature and an elephant is very cumbersome,extraordinary i to said your no goodbye in so i said all i is,0.07142857142857142,0.0,0.07142857142857142,9.418382295637229e-232,0.03571428571428571,1.0
where i live everything is very small,extraordinary i to said your no goodbye,0.14285714285714285,0.0,0.14285714285714285,1.1200407237786664e-231,0.07142857142857142,0.8571428571428571
what i need is a sheep,extraordinary i to said your no,0.16666666666666666,0.0,0.16666666666666666,1.1640469867513693e-231,0.08333333333333333,0.8333333333333334
draw me a sheep,extraordinary i to said,0.0,0.0,0.0,0.0,0.0,1.0
so then i made a drawing,extraordinary i to said your no,0.16666666666666666,0.0,0.16666666666666666,9.853445011990208e-232,0.08333333333333333,1.0
he looked at it carefully then he said no,extraordinary i to said your no goodbye in so,0.2222222222222222,0.0,0.2222222222222222,1.0518351895246305e-231,0.16666666666666666,1.0
this sheep is already very sickly,extraordinary i to said your no,0.0,0.0,0.0,1.1640469867513693e-231,0.0,1.0
make me another so i made another drawing,extraordinary i to said your no goodbye in,0.125,0.0,0.125,1.0832677820940877e-231,0.0625,1.0
my friend smiled gently and indulgently,extraordinary i to said your no,0.0,0.0,0.0,1.1640469867513693e-231,0.0,1.0
you see yourself he said that this is not a sheep,extraordinary i to said your no goodbye in so i said,0.09090909090909091,0.0,0.09090909090909091,1.0003688322288243e-231,0.045454545454545456,1.0
this is a ram,extraordinary i to said,0.0,0.0,0.0,1.2882297539194154e-231,0.0,1.0
it has horns,extraordinary i to,0.0,0.0,0.0,1.384292958842266e-231,0.0,1.0
so then i did my drawing over once more,extraordinary i to said your no goodbye in so,0.2222222222222222,0.0,0.1111111111111111,1.0518351895246305e-231,0.1111111111111111,1.0
but it was rejected too just like the others,extraordinary i to said your no goodbye in so,0.0,0.0,0.0,1.0518351895246305e-231,0.0,1.0
this one is too old,extraordinary i to said your,0.0,0.0,0.0,1.2183324802375697e-231,0.10000000000000002,1.0
i want a sheep that will live a long time,extraordinary i to said your no goodbye in so i,0.10000000000000002,0.0,0.10000000000000002,1.0244914152188952e-231,0.05000000000000001,1.0
by this time my patience was exhausted because i was in a hurry to start taking my engine apart,extraordinary i to said your no goodbye in so i said all i is now which said man thought,0.15789473684210525,0.0,0.10526315789473684,8.726094729337945e-232,0.07894736842105263,1.0
so i tossed off this drawing,extraordinary i to said your no,0.16666666666666666,0.0,0.16666666666666666,1.1640469867513693e-231,0.08333333333333333,0.8333333333333334
and i threw out an explanation with it,extraordinary i to said your no goodbye in,0.125,0.0,0.125,1.0832677820940877e-231,0.0625,0.875
this is only his box,extraordinary i to said your,0.0,0.0,0.0,1.2183324802375697e-231,0.0,1.0
the sheep you asked for is inside i was very surprised to see a light break over the face of my young judge that is exactly the way i wanted it,extraordinary i to said your no goodbye in so i said all i is now which said man thought i place because some it snake then from the thorns on fumble,0.1935483870967742,0.0,0.16129032258064516,9.181748633447778e-232,0.0967741935483871,1.0
do you think that this sheep will have to have a great deal of grass why because where i live everything is very small there will surely be enough grass for him i said,extraordinary i to said your no goodbye in so i said all i is now which said man thought i place because some it snake then from the thorns on fumble funny much shop,0.17647058823529413,0.030303030303030304,0.11764705882352941,7.544641259221007e-232,0.11764705882352941,1.0
it is a very small sheep that i have given you he bent his head over the drawing not so small that look,extraordinary i to said your no goodbye in so i said all i is now which said man thought i place because some,0.13043478260869565,0.0,0.08695652173913043,8.319100378795605e-232,0.06521739130434782,1.0
he has gone to sleep and that is how i made the acquaintance of the little prince,extraordinary i to said your no goodbye in so i said all i is now which said,0.17647058823529413,0.0,0.11764705882352941,8.972141065609098e-232,0.08823529411764706,0.9411764705882353
it took me a long time to learn where he came from,extraordinary i to said your no goodbye in so i said all,0.08333333333333333,0.0,0.08333333333333333,9.788429383461836e-232,0.041666666666666664,1.0
the little prince who asked me so many questions never seemed to hear the ones i asked him,extraordinary i to said your no goodbye in so i said all i is now which said man,0.16666666666666666,0.0,0.1111111111111111,8.844844403089352e-232,0.1111111111111111,1.0
it was from words dropped by chance that little by little everything was revealed to me,extraordinary i to said your no goodbye in so i said all i is now which,0.0625,0.0,0.0625,9.109159947227211e-232,0.03125,1.0
the first time he saw my airplane for instance i shall not draw my airplane that would be much too complicated for me he asked me what is that object that is not an object,extraordinary i to said your no goodbye in so i said all i is now which said man thought i place because some it snake then from the thorns on fumble funny much shop asked,0.14285714285714285,0.0,0.08571428571428572,7.490163752058132e-232,0.07142857142857142,0.9714285714285714
it flies,extraordinary i,0.0,0.0,0.0,1.5319719891192393e-231,0.0,1.0
it is an airplane,extraordinary i to said,0.0,0.0,0.0,1.2882297539194154e-231,0.0,1.0
it is my airplane and i was proud to have him learn that i could fly,extraordinary i to said your no goodbye in so i said all i is now which,0.25,0.0,0.1875,9.109159947227211e-232,0.125,1.0
he cried out then what,extraordinary i to said your,0.0,0.0,0.0,1.2183324802375697e-231,0.0,1.0
you dropped down from the sky yes i answered modestly,extraordinary i to said your no goodbye in so i,0.10000000000000002,0.0,0.10000000000000002,1.0244914152188952e-231,0.05000000000000001,1.0
oh,extraordinary,0.0,0.0,0.0,0.0,0.0,1.0
that is funny and the little prince broke into a lovely peal of laughter which irritated me very much,extraordinary i to said your no goodbye in so i said all i is now which said man thought,0.10526315789473684,0.0,0.10526315789473684,1.0377133938315695e-231,0.05263157894736842,1.0
i like my misfortunes to be taken seriously,extraordinary i to said your no goodbye in,0.25,0.0,0.25,9.55980462367717e-232,0.125,1.0
then he added so you too come from the sky,extraordinary i to said your no goodbye in so i,0.10000000000000002,0.0,0.10000000000000002,0.0,0.05000000000000001,1.0
which is your planet at that moment i caught a gleam of light in the impenetrable mystery of his presence and i demanded abruptly do you come from another planet but he did not reply,extraordinary i to said your no goodbye in so i said all i is now which said man thought i place because some it snake then from the thorns on fumble funny much shop asked,0.22857142857142856,0.0,0.11428571428571428,7.490163752058132e-232,0.12857142857142856,1.0
he tossed his head gently without taking his eyes from my plane it is true that on that you cant have come from very far away and he sank into a reverie which lasted a long time,extraordinary i to said your no goodbye in so i said all i is now which said man thought i place because some it snake then from the thorns on fumble funny much shop asked out own,0.13513513513513514,0.0,0.05405405405405406,7.386826398032373e-232,0.10810810810810811,0.972972972972973
then taking my sheep out of his pocket he buried himself in the contemplation of his treasure,extraordinary i to said your no goodbye in so i said all i is now which said,0.058823529411764705,0.0,0.058823529411764705,8.972141065609098e-232,0.058823529411764705,1.0
you can imagine how my curiosity was aroused by this halfconfidence about the other planets i made a great effort therefore to find out more on this subject,extraordinary i to said your no goodbye in so i said all i is now which said man thought i place because some it snake then from the,0.10714285714285714,0.0,0.07142857142857142,9.418382295637229e-232,0.07142857142857142,1.0
my little man where do you come from,extraordinary i to said your no goodbye in,0.0,0.0,0.0,1.0832677820940877e-231,0.0,1.0
what is this where i live of which you speak,extraordinary i to said your no goodbye in so i,0.10000000000000002,0.0,0.10000000000000002,1.0244914152188952e-231,0.05000000000000001,1.0
where do you want to take your sheep after a reflective silence he answered the thing that is so good about the box you have given me is that at night he can use it as his house that is so,extraordinary i to said your no goodbye in so i said all i is now which said man thought i place because some it snake then from the thorns on fumble funny much shop asked out own you millions stars way,0.17073170731707318,0.0,0.12195121951219512,7.199666163340923e-232,0.13414634146341464,1.0
and if you are good i will give you a string too so that you can tie him during the day and a post to tie him to but the little prince seemed shocked by this offer tie him,extraordinary i to said your no goodbye in so i said all i is now which said man thought i place because some it snake then from the thorns on fumble funny much shop asked out own you millions,0.1282051282051282,0.0,0.07692307692307693,7.290245807398516e-232,0.07692307692307693,1.0
what a queer idea but if you dont tie him i said he will wander off somewhere and get lost my friend broke into another peal of laughter but where do you think he would go anywhere,extraordinary i to said your no goodbye in so i said all i is now which said man thought i place because some it snake then from the thorns on fumble funny much shop asked out own,0.05405405405405406,0.027777777777777776,0.05405405405405406,7.386826398032373e-232,0.04054054054054054,0.972972972972973
straight ahead of him then the little prince said earnestly that doesnt matter,extraordinary i to said your no goodbye in so i said all i,0.07692307692307693,0.0,0.07692307692307693,9.594503055152632e-232,0.07692307692307693,1.0
where i live everything is so small and with perhaps a hint of sadness he added straight ahead of him nobody can go very far i had thus learned a second fact of great importance this was that the planet the little prince came from was scarcely any larger than a house,extraordinary i to said your no goodbye in so i said all i is now which said man thought i place because some it snake then from the thorns on fumble funny much shop asked out own you millions stars way was without to in that the to sheep one like is,0.17307692307692307,0.0196078431372549,0.11538461538461539,6.784338172413661e-232,0.12221153846153845,0.9807692307692307
but that did not really surprise me much,extraordinary i to said your no goodbye in,0.0,0.0,0.0,1.0832677820940877e-231,0.0,1.0
i knew very well that in addition to the great planets such as the earth jupiter mars venus to which we have given names there are also hundreds of others some of which are so small that one has a hard time seeing them through the telescope,extraordinary i to said your no goodbye in so i said all i is now which said man thought i place because some it snake then from the thorns on fumble funny much shop asked out own you millions stars way was without to in that the,0.21276595744680848,0.0,0.1276595744680851,8.27449233497142e-232,0.1276595744680851,0.9787234042553191
when an astronomer discovers one of these he does not give it a name but only a number,extraordinary i to said your no goodbye in so i said all i is now which said man,0.0,0.0,0.0,8.844844403089352e-232,0.027777777777777776,1.0
he might call it for example asteroid  i have serious reason to believe that the planet from which the little prince came is the asteroid known as b,extraordinary i to said your no goodbye in so i said all i is now which said man thought i place because some it snake then from the,0.25,0.0,0.14285714285714285,7.919883909890055e-232,0.125,1.0
this asteroid has only once been seen through the telescope,extraordinary i to said your no goodbye in so i,0.0,0.0,0.0,1.0244914152188952e-231,0.0,1.0
that was by a turkish astronomer in ,extraordinary i to said your no goodbye,0.0,0.0,0.0,1.1200407237786664e-231,0.0,1.0
on making his discovery the astronomer had presented it to the international astronomical congress in a great demonstration,extraordinary i to said your no goodbye in so i said all i is now which said man,0.1111111111111111,0.0,0.1111111111111111,1.0518351895246305e-231,0.05555555555555555,1.0
but he was in turkish costume and so nobody would believe what he said,extraordinary i to said your no goodbye in so i said all i is,0.21428571428571427,0.0,0.21428571428571427,9.418382295637229e-232,0.10714285714285715,1.0
grownups are like that fortunately however for the reputation of asteroid b a turkish dictator made a law that his subjects under pain of death should change to european costume,extraordinary i to said your no goodbye in so i said all i is now which said man thought i place because some it snake then from the thorns on,0.06666666666666667,0.0,0.03333333333333333,7.784451369270533e-232,0.03333333333333333,1.0
so in  the astronomer gave his demonstration all over again dressed with impressive style and elegance,extraordinary i to said your no goodbye in so i said all i is now which,0.1875,0.0,0.125,1.0832677820940877e-231,0.09375,1.0
and this time everybody accepted his report,extraordinary i to said your no goodbye,0.0,0.0,0.0,1.1200407237786664e-231,0.0,1.0
if i have told you these details about the asteroid and made a note of its number for you it is on account of the grownups and their ways,extraordinary i to said your no goodbye in so i said all i is now which said man thought i place because some it snake then from the thorns,0.13793103448275862,0.0,0.10344827586206896,7.850707993042515e-232,0.08620689655172414,0.9655172413793104
when you tell them that you have made a new friend they never ask you any questions about essential matters,extraordinary i to said your no goodbye in so i said all i is now which said man thought i,0.0,0.0,0.0,8.614911585158347e-232,0.025000000000000005,1.0
they never say to you what does his voice sound like,extraordinary i to said your no goodbye in so i said,0.09090909090909091,0.0,0.09090909090909091,1.0003688322288243e-231,0.09090909090909091,1.0
what games does he love best,extraordinary i to said your no,0.0,0.0,0.0,0.0,0.0,1.0
does he collect butterflies instead they demand how old is he,extraordinary i to said your no goodbye in so i said,0.0,0.0,0.0,1.0003688322288243e-231,0.0,1.0
how many brothers has he,extraordinary i to said your,0.0,0.0,0.0,0.0,0.0,1.0
how much does he weigh,extraordinary i to said your,0.0,0.0,0.0,1.2183324802375697e-231,0.0,1.0
how much money does his father make only from these figures do they think they have learned anything about him,extraordinary i to said your no goodbye in so i said all i is now which said man thought i,0.0,0.0,0.0,8.614911585158347e-232,0.025000000000000005,1.0
if you were to say to the grownups i saw a beautiful house made of rosy brick with geraniums in the windows and doves on the roof they would not be able to get any idea of that house at all,extraordinary i to said your no goodbye in so i said all i is now which said man thought i place because some it snake then from the thorns on fumble funny much shop asked out own you millions stars way,0.17073170731707318,0.0,0.0975609756097561,7.199666163340923e-232,0.12195121951219512,1.0
you would have to say to them i saw a house that cost   then they would exclaim oh what a pretty house that is just so you might say to them the proof that the little prince existed is that he was charming that he laughed and that he was looking for a sheep,extraordinary i to said your no goodbye in so i said all i is now which said man thought i place because some it snake then from the thorns on fumble funny much shop asked out own you millions stars way was without to in that the to sheep one like is not truly,0.25925925925925924,0.018867924528301886,0.14814814814814814,6.720628411503338e-232,0.1574074074074074,0.9814814814814815
if anybody wants a sheep that is a proof that he exists and what good would it do to tell them that,extraordinary i to said your no goodbye in so i said all i is now which said man thought i place because,0.09090909090909091,0.0,0.045454545454545456,8.412065649527267e-232,0.06818181818181818,1.0
they would shrug their shoulders and treat you like a child,extraordinary i to said your no goodbye in so i said,0.0,0.0,0.0,1.0003688322288243e-231,0.0,1.0
but if you said to them the planet he came from is asteroid b then they would be convinced and leave you in peace from their questions,extraordinary i to said your no goodbye in so i said all i is now which said man thought i place because some it snake then from,0.2222222222222222,0.0,0.14814814814814814,7.992219124248642e-232,0.1111111111111111,0.9629629629629629
they are like that,extraordinary i to said,0.0,0.0,0.0,1.2882297539194154e-231,0.0,1.0
one must not hold it against them,extraordinary i to said your no goodbye,0.0,0.0,0.0,1.1200407237786664e-231,0.07142857142857142,1.0
children should always show great forbearance toward grownup people,extraordinary i to said your no goodbye in so,0.0,0.0,0.0,1.0518351895246305e-231,0.0,1.0
but certainly for us who understand life figures are a matter of indifference,extraordinary i to said your no goodbye in so i said all i,0.0,0.0,0.0,1.1409851298103347e-231,0.0,1.0
i should have liked to begin this story in the fashion of the fairytales,extraordinary i to said your no goodbye in so i said all i is,0.21428571428571427,0.0,0.21428571428571427,9.418382295637229e-232,0.10714285714285715,1.0
i should have like to say once upon a time there was a little prince who lived on a planet that was scarcely any bigger than himself and who had need of a sheep to those who understand life that would have given a much greater air of truth to my story,extraordinary i to said your no goodbye in so i said all i is now which said man thought i place because some it snake then from the thorns on fumble funny much shop asked out own you millions stars way was without to in that the to sheep one like is,0.19230769230769232,0.0,0.1346153846153846,6.784338172413661e-232,0.1346153846153846,1.0
fori do not want any one to read my book carelessly,extraordinary i to said your no goodbye in so i said,0.09090909090909091,0.0,0.09090909090909091,1.0003688322288243e-231,0.13636363636363635,1.0
i have suffered too much grief in setting down these memories,extraordinary i to said your no goodbye in so i said,0.18181818181818182,0.0,0.18181818181818182,1.0003688322288243e-231,0.09090909090909091,0.9090909090909091
six years have already passed since my friend went away from me with his sheep,extraordinary i to said your no goodbye in so i said all i is now,0.0,0.0,0.0,9.257324954728539e-232,0.0,1.0
if i try to describe him here it is to make sure that i shall not forget him,extraordinary i to said your no goodbye in so i said all i is now which said man,0.2222222222222222,0.0,0.16666666666666666,8.844844403089352e-232,0.1111111111111111,0.8888888888888888
to forget a friend is sad,extraordinary i to said your no,0.16666666666666666,0.0,0.16666666666666666,1.1640469867513693e-231,0.08333333333333333,1.0
not every one has had a friend,extraordinary i to said your no goodbye,0.0,0.0,0.0,1.1200407237786664e-231,0.07142857142857142,1.0
and if i forget him i may become like the grownups who are no longer interested in anything but figures,extraordinary i to said your no goodbye in so i said all i is now which said man thought i,0.20000000000000004,0.0,0.15,8.614911585158347e-232,0.10000000000000002,1.0
it is for that purpose again that i have bought a box of paints and some pencils,extraordinary i to said your no goodbye in so i said all i is now which said,0.11764705882352941,0.0,0.058823529411764705,8.972141065609098e-232,0.058823529411764705,1.0
it is hard to take up drawing again at my age when i have never made any pictures except those of the boa constrictor from the outside and the boa constrictor from the inside since i was six,extraordinary i to said your no goodbye in so i said all i is now which said man thought i place because some it snake then from the thorns on fumble funny much shop asked out own you,0.18421052631578946,0.02702702702702703,0.10526315789473684,8.726094729337945e-232,0.15367121507472387,0.9736842105263158
i shall certainly try to make my portraits as true to life as possible,extraordinary i to said your no goodbye in so i said all i is,0.14285714285714285,0.0,0.14285714285714285,9.418382295637229e-232,0.07142857142857142,1.0
but i am not at all sure of success,extraordinary i to said your no goodbye in so,0.1111111111111111,0.0,0.1111111111111111,1.0518351895246305e-231,0.05555555555555555,0.8888888888888888
one drawing goes along all right and another has no resemblance to its subject,extraordinary i to said your no goodbye in so i said all i is,0.21428571428571427,0.0,0.07142857142857142,9.418382295637229e-232,0.14285714285714285,1.0
